actor;period;mstrat
FI001;0;0
FI002;0;0
FI003;0;0
FI005;0;1
FI006;0;0
FI007;0;1
FI009;0;0
FI011;0;1
FI013;0;1
FI014;0;1
FI015;0;1
FI016;0;1
FI017;0;0
FI018;0;1
FI020;0;1
FI021;0;1
FI022;0;0
FI023;0;0
FI024;0;0
FI026;0;0
FI027;0;1
FI029;0;1
FI030;0;1
FI031;0;0
FI032;0;1
FI033;0;0
FI034;0;1
FI035;0;1
FI036;0;1
FI037;0;0
FI038;0;0
FI039;0;1
FI040;0;0
FI041;0;1
FI042;0;1
FI045;0;0
FI047;0;0
FI048;0;1
FI049;0;0
FI050;0;0
FI051;0;0
FI054;0;0
FI055;0;0
FI057;0;0
FI058;0;1
FI059;0;0
FI060;0;0
FI061;0;1
FI062;0;1
FI063;0;0
FI064;0;0
FI065;0;1
FI066;0;0
FI067;0;1
FI068;0;1
FI070;0;1
FI071;0;0
FI072;0;0
FI075;0;1
FI076;0;0
FI077;0;0
FI078;0;0
FI079;0;0
FI080;0;0
FI081;0;0
FI082;0;0
FI083;0;0
FI084;0;1
FI086;0;0
FI087;0;0
FI088;0;0
FI089;0;0
FI090;0;0
FI092;0;1
FI093;0;1
FI095;0;1
FI096;0;1
FI001;1;0
FI003;1;0
FI007;1;0
FI008;1;1
FI009;1;0
FI010;1;1
FI011;1;1
FI012;1;0
FI013;1;1
FI015;1;1
FI016;1;1
FI017;1;1
FI018;1;0
FI022;1;1
FI023;1;1
FI025;1;1
FI026;1;1
FI027;1;1
FI030;1;0
FI031;1;1
FI032;1;1
FI033;1;1
FI034;1;0
FI035;1;0
FI037;1;0
FI038;1;1
FI039;1;1
FI040;1;0
FI041;1;1
FI043;1;1
FI045;1;1
FI047;1;1
FI048;1;1
FI050;1;0
FI051;1;1
FI054;1;1
FI056;1;1
FI057;1;1
FI058;1;1
FI059;1;0
FI060;1;1
FI062;1;0
FI063;1;0
FI064;1;0
FI065;1;1
FI066;1;0
FI067;1;1
FI068;1;1
FI070;1;0
FI071;1;0
FI072;1;0
FI074;1;1
FI075;1;1
FI076;1;1
FI077;1;1
FI078;1;1
FI079;1;0
FI080;1;1
FI081;1;1
FI082;1;0
FI083;1;0
FI084;1;0
FI086;1;0
FI088;1;1
FI089;1;1
FI091;1;1
FI093;1;1
FI094;1;0
FI095;1;1
FI096;1;1
FI126;1;0
FI128;1;0
FI129;1;1
FI130;1;1
FI131;1;1
FI132;1;1
FI133;1;1
FI134;1;0
FI135;1;1
FI136;1;1
FI137;1;0
FI138;1;0
FI140;1;1
FI141;1;1
