actor;vjou;vopi;vtot
FI001;1;3;4
FI006;1;1;2
FI010;6;1;7
FI015;3;3;6
FI016;8;7;15
FI018;15;8;23
FI020;2;2;4
FI021;24;6;30
FI022;3;3;6
FI023;11;2;13
FI026;3;2;5
FI027;13;3;16
FI032;1;1;2
FI037;5;2;7
FI039;1;2;3
FI043;2;1;3
FI061;3;1;4
FI065;15;1;16
FI067;2;1;3
FI070;7;4;11
FI072;1;2;3
FI078;4;2;6
FI079;8;1;9
FI080;5;1;6
FI081;1;1;2
FI085;3;1;4
FI090;1;1;2
FI091;15;6;21
FI093;4;1;5
FI095;3;2;5
FI096;11;1;12
FI127;2;2;4
FI132;3;1;4
FI133;7;1;8
FI048;4;0;4
FI024;1;0;1
FI008;6;0;6
FI053;5;0;5
FI013;1;0;1
FI014;1;0;1
FI033;1;0;1
FI035;1;0;1
FI017;4;0;4
FI137;2;0;2
FI051;1;0;1
FI073;1;0;1
FI046;1;0;1
FI030;1;0;1
FI062;3;0;3
FI052;1;0;1
FI082;1;0;1
FI036;3;0;3
FI068;2;0;2
FI140;1;0;1
FI138;0;1;1
FI019;0;1;1
FI134;0;3;3
FI056;0;1;1
FI128;0;1;1
FI136;0;1;1
